name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Denmark Street Studios Ltd,12 D'arblay Street,City Of Westminster,,Westminster,https://www.denmarkstreetstudios.com/,10033524377,E09000033,West End,E05013808,51.51413895,-0.134742636,529526.1183,181116.9712
Noatune Studios,Netil House 1 Westgate St,,Salusbury Road,Hackney,https://www.noatune.com/about,No UPRN,E09000012,Victoria,E05009386,51.5369662,-0.05619327,534908.6726,183797.3094
Mews Productions Recording Studios,"Suite 201, The Tramworks",Hatherley Mews,,Waltham Forest,http://mewsproductions.com/,10009149245,E09000031,Hoe Street,E05013893,51.58604519,-0.019146717,537330.0118,189323.8617
AA Studios,212 Ilderton Road,South Bermondsey,,Lewisham,https://www.aastudioslondon.co.uk/?gclid=Cj0KCQjwpPHoBRC3ARIsALfx-_L6E7NDEKR4tN4OzDFXZUmLJxvfcHnoYERXPss,2.00E+11,E09000023,New Cross Gate,E05013728,51.48180864,-0.052238639,535346.2584,177671.001
Abbey Studios,3 Abbey Road,St John's Wood,,Westminster,https://www.abbeyroad.com/,1.00E+11,E09000033,Abbey Road,E05013792,51.53172262,-0.176143559,526604.79,182999.9132
Battery Studio,1 Maybury Gardens,Willesdon,,Brent,https://milocostudios.com/studios/assault-&-battery-2/intro/,202069888,E09000005,Willesden Green,E05013517,51.54616751,-0.232502704,522657.0054,184510.2985
Baltic Studios,Unit 1 Baltic Place,Kingsland Road,,Hackney,https://milocostudios.com/studios/baltic-studios/,10008238735,E09000012,Haggerston,E05009375,51.53624247,-0.07550704,533571.4167,183681.3624
Lockdown Studio (Unit 6),Unit 6 & 7 Cable Street,,,Tower Hamlets,https://www.facebook.com/pg/studiolockdown/about/,No UPRN,E09000030,Whitechapel,E05009336,51.51012645,-0.066719714,534257.5851,180793.2927
Miloco HQ,36 Leroy Street,,,Southwark,https://milocostudios.com/studios/,2.00E+11,E09000028,London Bridge & West Bermondsey,E05011104,51.49370438,-0.08152833,533277.9156,178940.0853
Pirate Studios - Croydon Production Studios,Unit 8 Block B,15 Whitestone Way,New South Quarter,Croydon,http://piratestudios.co.uk,10014049248,E09000008,Waddon,E05011487,51.37352069,-0.114227069,531352.1294,165516.6158
Pirate Studios - Greenwich Production Studios,22 Bugsby's Way,,,Greenwich,http://piratestudios.co.uk,No UPRN,E09000011,Greenwich Peninsula,E05014082,51.48999713,0.029856389,541021.1077,178736.4232
Pirate Studios - Earlsfield,17 Lydden Road,,,Wandsworth,http://piratestudios.co.uk,1.00E+11,E09000032,Wandle,E05014026,51.44643305,-0.189165102,525936.2569,173493.1427
Play Deep Studios,8-16 Cromer Street,Kings Cross,,Camden,https://playdeepstudios.co.uk/,5109600,E09000007,King's Cross,E05013666,51.52779899,-0.118237754,530632.2123,182665.29
Residents Studio,57a Windsor Road,,,Brent,www.residentstudios.com/,12133205,E09000005,Willesden Green,E05013517,51.54961531,-0.230759114,522768.6209,184896.6267
The Church,145H Crouch Hill,Crouch Hill,,Haringey,http://www.thechurchstudios.com/,1.00E+11,E09000014,Crouch End,E05013588,51.57709242,-0.122009117,530229.8692,188140.1133
Pirate Studios - Notting Hill,58 Bard Road,Notting Hill,,Kensington and Chelsea,http://piratestudios.co.uk,217002897,E09000020,Notting Dale,E05009399,51.51182257,-0.218095429,523749.0173,180715.2874
Sleeper Sounds,1-3 Middle Row,,,Kensington and Chelsea,https://milocostudios.com/studios/sleeper-sounds/location-and-map/,217057604,E09000020,Golborne,E05009396,51.52516659,-0.210236494,524258.0228,182212.4777
Snap Studios,167 Hermitage Road,Harringey Warehouse District,,Haringey,http://www.snapstudios.co.uk/,1.00E+11,E09000014,Hermitage & Gardens,E05013591,51.57553781,-0.089933478,532456.891,188024.8599
Konk Studios,84-86 Tottenham Lane,,,Haringey,https://www.konkstudios.com/,1.00E+11,E09000014,Hornsey,E05013593,51.58482036,-0.113277162,530812.7404,189015.0823
Starcity Studios,2 Sutton Ct Rd Sutton,,,Sutton,www.starcitystudios.co.uk,5870119821,E09000029,Sutton Central,E05013765,51.3604,-0.1905,526079.6395,163923.9093
Soundbox Studios,"Unit 4, Pandora House",41-45 Lind Road,,Sutton,,5870127817,E09000029,Sutton Central,E05013765,51.36471,-0.18601,526380.3729,164410.9086
Crown Lane Studio,8b Crown Lane,Merton,,Merton,www.crownlanestudio.co.uk,48130591,E09000024,St Helier,E05013824,51.40130581,-0.193932924,525728.619,168466.7992
Red Mastering Studio,Ashley Lodge 122a Thurlow Park Rd,,,Lambeth,onlinemastering.org.uk,1.00E+11,E09000022,West Dulwich,E05014119,51.44077,-0.09394,532569.5534,173031.2809
Sonica Studios Ltd,17a Welmar Mews,Lambeth,,Lambeth,www.sonicastudios.co.uk,10093378271,E09000022,Clapham Common & Abbeville,E05014099,51.45843412,-0.130320449,529991.1188,174930.3502
The Dairy Studios,43 Tunstall Road,Lambeth,,Lambeth,http://www.thedairy.co.uk,1.00E+11,E09000022,Brixton Acre Lane,E05014095,51.46173272,-0.116147931,530966.2408,175322.3919
123 Studios,4b Copeland Park,133 Copeland Rd,,Southwark,www.123productions.co.uk,No UPRN,E09000028,Rye Lane,E05011113,51.46933993,-0.064714244,534516.688,176261.5048
Cool Music Ltd,1a Fishers Lane,Hounslow,Chiswick High Road,Hounslow,http://www.coolmusicltd.com,1.00E+11,E09000018,Chiswick Gunnersbury,E05013609,51.49222248,-0.258169931,521020.2125,178468.7863
Metropolis,The Power House,70 Chiswick High Road,,Hounslow,,2.00E+11,E09000018,Chiswick Homefields,E05013610,51.4933739,-0.247925618,521728.2894,178613.7904
Dean Street Studios Ltd,59 Dean Street,City Of Westminster,,Westminster,www.deanst.com,1.00E+11,E09000033,St James's,E05013806,51.51222674,-0.130439042,529830.1535,180911.9502
Bubble,13-14 Berwick Street ,City Of Westminster,,Westminster,http://www.silk.co.uk,10091912204,E09000033,West End,E05013808,51.51295111,-0.133003858,529650.1331,180987.9582
De Lane Lea,75 Dean Street,,,Westminster,http://www.delanelea.com,10033570831,E09000033,West End,E05013808,51.51328584,-0.131433472,529758.1445,181027.9612
Sarm Studios,12 Darblay Street,Soho,,Kensington and Chelsea,http://www.sarmstudios.com,217106572,E09000020,Colville,E05009392,51.51496474,-0.20729947,524489.5661,181082.9964
Air Edel Recording Studios Ltd,18 Rodmarton Street,City Of Westminster,,Westminster,www.air-edelstudios.com,1.00E+11,E09000033,Marylebone,E05013801,51.51777485,-0.15594308,528044.9524,181484.0135
Fx Rentals Ltd,38-40 Telford Way,Ealing,,Ealing,http://www.fxgroup.net,12117562,E09000009,East Acton,E05013522,51.52001731,-0.2530731,521300.2246,181568.0774
