name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Oto Project Space,1-7 Ashwin Street ,,,Hackney,https://www.cafeoto.co.uk/info/,1.00E+11,E09000012,Dalston,E05009370,51.54598889,-0.073218864,533701.5587,184769.3842
Bally Studios,Unit 16 Mill Mead Industrial Centre,Mill Mead Road,,Haringey,www.ballystudios.co.uk,1.00E+11,E09000014,Tottenham Hale,E05013602,51.59139579,-0.054592149,534858.8396,189852.9556
Ritz Rehearsal Studios,The Courtyard Esmond Street,Wandsworth,,Wandsworth,,1.00E+11,E09000032,Thamesfield,E05014022,51.4615174,-0.209135791,524507.5572,175136.4362
Arcola Studio,24 Ashwin Street,,,Hackney,https://www.arcolatheatre.com/about/hire/,10008349712,E09000012,Dalston,E05009370,51.54691,-0.075,533575.3674,184868.5587
New River Studios,199 Eade Rd,,,Haringey,https://newriverstudios.com/,10022945372,E09000014,Hermitage & Gardens,E05013591,51.57489,-0.08798,532594.1334,187956.3626
Pirate Studios - Croydon DJ Studios,Unit 8 Block B,15 Whitestone Way,New South Quarter,Croydon,http://piratestudios.co.uk,10014049248,E09000008,Waddon,E05011487,51.37425,-0.11641,531198.1184,165593.8137
Pirate Studios - Earlsfield Rehearsal Studios,17 Lydden Road,,,Wandsworth,http://piratestudios.co.uk,1.00E+11,E09000032,Wandle,E05014026,51.4468,-0.19074,525825.8152,173531.2452
Pirate Studios - Greenwich Rehearsal Studios,22 Bugsby's Way,,,Greenwich,http://piratestudios.co.uk,10010260175,E09000011,Greenwich Peninsula,E05014082,51.49144,0.02844,540918.3299,178894.1449
Pirate Studios - Notting Hill,58 Bard Road,Notting Hill,,Kensington and Chelsea,http://piratestudios.co.uk,217104975,E09000020,Notting Dale,E05009399,51.5122,-0.21939,523658.1674,180755.0722
Crown Lane Studio,8b Crown Lane,Merton,,Merton,www.crownlanestudio.co.uk,48130591,E09000024,St Helier,E05013824,51.40130581,-0.193932924,525728.619,168466.7992
Antenna Studios,Bowyers Yard Haynes Lane,Croydon,,Croydon,www.antennastudios.co.uk,10090383277,E09000008,Crystal Palace & Upper Norwood,E05011467,51.41754463,-0.081646512,533491.5176,170470.9504
