name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Low Profile Studios,94 Vale Road,Harringay Warehouse District,,Haringey,,,E09000014,Seven Sisters,E05013598,51.57559471745151,-0.09030370111176629,532431.0724345748,188030.51744419386
Rio Nightclub,Gaumont Palace,9A The Broadway,High Road,Haringey,https://rionightclub.co.uk/,,E09000014,Noel Park,E05013595,51.59656130793083,-0.1092679693139813,531056.7387514167,190327.9092839134
Colours Hoxton,2-4 Hoxton Square London,,2-4 Hoxton Square ,Hackney,www.hoxtonsquarebar.com,10091942715,E09000012,Hoxton East & Shoreditch,E05009377,51.526995619200555,-0.0804226747431209,533257.5149001254,182644.11739954143
Star Of Bethnal Green,359 Bethnal Green Road; Bethnal Green; London E2 6,Tower Hamlets,359 Bethnal Green ,Tower Hamlets,www.starofbethnalgreen.co.uk/,,E09000030,St Peter's,E05009331,51.526699999509894,-0.062420000037326825,534507.1118001249,182644.195499566
The Yard Theatre,Unit 2a Queens Yard,White Post Lane,Unit 2a Queens Yar,Tower Hamlets,www.theyardtheatre.co.uk,6077552,E09000030,Bow East,E05009319,51.54212895958654,-0.02179033198554991,537278.9415001675,184435.3129993388
The Eagle,349 Kennington Lane; Vauxhall; London SE11 5QY; Un,,,Lambeth,www.eaglelondon.com/,,E09000022,Vauxhall,E05014117,51.48630699933419,-0.11934799930524628,530673.8076001167,178049.36879949676
South Place Hotel,3 South Place,,,City of London,,,E09000001,Bishopsgate,E05009292,51.51899999970536,-0.08488737900387927,532971.1096001354,181746.86989952947
Number 90,90 Wallis Road,Hackney,90 Wallis Road,Hackney,www.number90bar.co.uk,,E09000012,Hackney Wick,E05009374,51.54359999947549,-0.021137394039529293,537319.7909001685,184600.11749934047
Fabric,77a Charterhouse St; Clerkenwell; London EC1M 6HJ;,,77a Charterhouse S,Islington,www.fabriclondon.com,,E09000019,Clerkenwell,E05013702,51.519573999873074,-0.10250499957329187,531747.2130001549,181778.84449949014
Tipsy,"20 Stoke Newington Road, London N16 7XN",Hackney,20 Stoke Newington,Hackney,,100000000000,E09000012,Shacklewell,E05009382,51.55115599915016,-0.07495099948880374,533566.349500197,185340.81179953797
Omeara,"6 O'Meara Street, SE1 1TE, London",,6 O'meara St Londo,Southwark,www.omearalondon.com,,E09000028,Borough & Bankside,E05011095,51.50414299953726,-0.09460299955340752,532340.1118001583,180077.1579994866
Fire,"39 Parry Street, South Lambeth Road, London, SW8 1",Lambeth,Arch 39-43 Parry S,Lambeth,www.firelondon.net/,100000000000,E09000022,Vauxhall,E05014117,51.48440299963506,-0.12344400061632804,530394.8640000559,177830.34529949204
Bar 512,512 Kingsland Road,Hackney,512 Kingsland Road,Hackney,,,E09000012,London Fields,E05009381,51.542799999597015,-0.07419037573362443,533643.5306001602,184412.99169957338
Vfd,66 Stoke Newington Road; Dalston; London N16 7XB; ,Hackney,66 Stoke Newington,Hackney,,100000000000,E09000012,Shacklewell,E05009382,51.55257199950883,-0.07464899998418327,533583.1457001972,185498.82539954007
Egg London,5-13 Vale Royal,London,5-13 Vale Royal,Islington,https://www.egglondon.co.uk,,E09000019,Caledonian,E05013700,51.541750999483234,-0.12518799928269553,530110.3472001435,184204.39359951182
Heaven,11 The Arches; Villiers St; Charing Cross; London ,Villiers Street,11 The Arches,Westminster,www.heavennightclub-london.com,,E09000033,St James's,E05013806,51.508086999739646,-0.12412199946443406,530280.2784001481,180462.8222995034
The Glory,281 Kingsland Road,Hackney,281 Kingsland Road,Hackney,www.theglory.co,100000000000,E09000012,Haggerston,E05009375,51.535684179512934,-0.07552887868156447,533571.536300109,183619.23849961767
Maddox Club,"3-5 Mill Street, London, W1S 2AU",City Of Westminster,3-5 Mill St,Westminster,http://www.maddoxclub.com,100000000000,E09000033,West End,E05013808,51.5133059997792,-0.14138499976961832,529067.5986001435,181012.62149951328
